Result,i1,i2,i3,i4
no,5.1,3.5,1.4,0.2
no,3,3.5,1.4,0.2
no,23,3.5,34,76.2
yes,21,3.5,35.4,0.2
no,32,3.5,54,32
no,12,3.5,1.4,342
yes,32,3.5,6.4,53
no,54,3.5,7.4,0.2
no,65,3.5,1.7,055
yes,1,3.5,1.5,0.2
no,12,3.5,544,332
no,546,3.5,23.4,0.2
no,34,3.5,34,23.2
no,12,3.5,4.4,32
yes,12,3.5,6.4,23
no,5.1,3.5,1.4,0.2
no,3,3.5,1.4,0.2
no,23,3.5,34,76.2
yes,21,3.5,35.4,0.2
no,32,3.5,54,32
no,12,3.5,1.4,342
yes,32,3.5,6.4,53
no,54,3.5,7.4,0.2
no,65,3.5,1.7,055
yes,1,3.5,1.5,0.2
no,12,3.5,544,332
no,546,3.5,23.4,0.2
no,34,3.5,34,23.2
no,12,3.5,4.4,32
yes,12,3.5,6.4,23
no,5.1,3.5,1.4,0.2
no,3,3.5,1.4,0.2
no,23,3.5,34,76.2
yes,21,3.5,35.4,0.2
no,32,3.5,54,32
no,12,3.5,1.4,342
yes,32,3.5,6.4,53
no,54,3.5,7.4,0.2
no,65,3.5,1.7,055
yes,1,3.5,1.5,0.2
no,12,3.5,544,332
no,546,3.5,23.4,0.2
no,34,3.5,34,23.2
no,12,3.5,4.4,32
yes,12,3.5,6.4,23
no,5.1,3.5,1.4,0.2
no,3,3.5,1.4,0.2
no,23,3.5,34,76.2
yes,21,3.5,35.4,0.2
no,32,3.5,54,32
no,12,3.5,1.4,342
yes,32,3.5,6.4,53
no,54,3.5,7.4,0.2
no,65,3.5,1.7,055
yes,1,3.5,1.5,0.2
no,12,3.5,544,332
no,546,3.5,23.4,0.2
no,34,3.5,34,23.2
no,12,3.5,4.4,32
yes,12,3.5,6.4,23
no,5.1,3.5,1.4,0.2
no,3,3.5,1.4,0.2
no,23,3.5,34,76.2
yes,21,3.5,35.4,0.2
no,32,3.5,54,32
no,12,3.5,1.4,342
yes,32,3.5,6.4,53
no,54,3.5,7.4,0.2
no,65,3.5,1.7,055
yes,1,3.5,1.5,0.2
no,12,3.5,544,332
no,546,3.5,23.4,0.2
no,34,3.5,34,23.2
no,12,3.5,4.4,32
yes,12,3.5,6.4,23
no,5.1,3.5,1.4,0.2
no,3,3.5,1.4,0.2
no,23,3.5,34,76.2
yes,21,3.5,35.4,0.2
no,32,3.5,54,32
no,12,3.5,1.4,342
yes,32,3.5,6.4,53
no,54,3.5,7.4,0.2
no,65,3.5,1.7,055
yes,1,3.5,1.5,0.2
no,12,3.5,544,332
no,546,3.5,23.4,0.2
no,34,3.5,34,23.2
no,12,3.5,4.4,32
yes,12,3.5,6.4,23
no,5.1,3.5,1.4,0.2
no,3,3.5,1.4,0.2
no,23,3.5,34,76.2
yes,21,3.5,35.4,0.2
no,32,3.5,54,32
no,12,3.5,1.4,342
yes,32,3.5,6.4,53
no,54,3.5,7.4,0.2
no,65,3.5,1.7,055
yes,1,3.5,1.5,0.2
no,12,3.5,544,332
no,546,3.5,23.4,0.2
no,34,3.5,34,23.2
no,12,3.5,4.4,32
yes,12,3.5,6.4,23
no,5.1,3.5,1.4,0.2
no,3,3.5,1.4,0.2
no,23,3.5,34,76.2
yes,21,3.5,35.4,0.2
no,32,3.5,54,32
no,12,3.5,1.4,342
yes,32,3.5,6.4,53
no,54,3.5,7.4,0.2
no,65,3.5,1.7,055
yes,1,3.5,1.5,0.2
no,12,3.5,544,332
no,546,3.5,23.4,0.2
no,34,3.5,34,23.2
no,12,3.5,4.4,32
yes,12,3.5,6.4,23
